x,y,channel,bit_index,payload_bit,byte_index
2665,0,R,15991,1,1998
2665,0,G,15992,0,1999
2665,0,G,15993,1,1999
2665,0,B,15994,0,1999
2665,0,B,15995,1,1999
2666,0,R,15996,0,1999
2666,0,R,15997,1,1999
2666,0,G,15998,1,1999
2666,0,G,15999,1,1999
2666,0,B,16000,0,2000
2666,0,B,16001,1,2000
2667,0,R,16002,0,2000
2667,0,R,16003,1,2000
2667,0,G,16004,0,2000
2667,0,G,16005,0,2000
2667,0,B,16006,0,2000
2667,0,B,16007,1,2000
2668,0,R,16008,0,2001
2668,0,R,16009,1,2001
2668,0,G,16010,1,2001
2668,0,G,16011,0,2001
2668,0,B,16012,0,2001
2668,0,B,16013,0,2001
2669,0,R,16014,1,2001
2669,0,R,16015,1,2001
2669,0,G,16016,0,2002
2669,0,G,16017,1,2002
2669,0,B,16018,0,2002
2669,0,B,16019,1,2002
2670,0,R,16020,0,2002
2670,0,R,16021,1,2002
2670,0,G,16022,1,2002
2670,0,G,16023,1,2002
2670,0,B,16024,0,2003
2670,0,B,16025,1,2003
2671,0,R,16026,0,2003
2671,0,R,16027,0,2003
2671,0,G,16028,1,2003
2671,0,G,16029,1,2003
2671,0,B,16030,1,2003
2671,0,B,16031,1,2003
2672,0,R,16032,0,2004
2672,0,R,16033,0,2004
2672,0,G,16034,1,2004
2672,0,G,16035,0,2004
2672,0,B,16036,0,2004
2672,0,B,16037,1,2004
2673,0,R,16038,0,2004
2673,0,R,16039,1,2004
2673,0,G,16040,0,2005
2673,0,G,16041,1,2005
2673,0,B,16042,1,2005
2673,0,B,16043,0,2005
2674,0,R,16044,0,2005
2674,0,R,16045,0,2005
2674,0,G,16046,1,2005
2674,0,G,16047,1,2005
2674,0,B,16048,0,2006
2674,0,B,16049,0,2006
2675,0,R,16050,1,2006
2675,0,R,16051,1,2006
2675,0,G,16052,0,2006
2675,0,G,16053,0,2006
2675,0,B,16054,0,2006
2675,0,B,16055,0,2006
2676,0,R,16056,0,2007
2676,0,R,16057,1,2007
2676,0,G,16058,0,2007
2676,0,G,16059,1,2007
2676,0,B,16060,0,2007
2676,0,B,16061,1,2007
2677,0,R,16062,0,2007
2677,0,R,16063,1,2007
2677,0,G,16064,0,2008
2677,0,G,16065,0,2008
2677,0,B,16066,1,2008
2677,0,B,16067,0,2008
2678,0,R,16068,0,2008
2678,0,R,16069,1,2008
2678,0,G,16070,1,2008
2678,0,G,16071,0,2008
2678,0,B,16072,0,2009
2678,0,B,16073,0,2009
2679,0,R,16074,1,2009
2679,0,R,16075,0,2009
