x,y,channel,bit_index,payload_bit,byte_index
183,0,G,1100,1,137
183,0,G,1101,0,137
183,0,B,1102,1,137
183,0,B,1103,0,137
184,0,R,1104,0,138
184,0,R,1105,0,138
184,0,G,1106,1,138
184,0,G,1107,0,138
184,0,B,1108,0,138
184,0,B,1109,0,138
185,0,R,1110,0,138
185,0,R,1111,0,138
185,0,G,1112,0,139
185,0,G,1113,0,139
185,0,B,1114,1,139
185,0,B,1115,1,139
186,0,R,1116,0,139
186,0,R,1117,0,139
186,0,G,1118,0,139
186,0,G,1119,1,139
186,0,B,1120,0,140
186,0,B,1121,0,140
187,0,R,1122,1,140
187,0,R,1123,1,140
187,0,G,1124,0,140
187,0,G,1125,0,140
187,0,B,1126,1,140
187,0,B,1127,1,140
188,0,R,1128,0,141
188,0,R,1129,0,141
188,0,G,1130,1,141
188,0,G,1131,1,141
188,0,B,1132,0,141
188,0,B,1133,1,141
189,0,R,1134,1,141
189,0,R,1135,1,141
189,0,G,1136,0,142
189,0,G,1137,0,142
189,0,B,1138,1,142
189,0,B,1139,1,142
190,0,R,1140,1,142
190,0,R,1141,0,142
190,0,G,1142,0,142
190,0,G,1143,0,142
